time,learning_rate,step,loss,accuracy
4705.12362742424,0.001,644,0.3386665,0.55
4712.604781389236,0.001,645,0.6905712,0.63
4719.79082775116,0.001,646,0.91015273,0.54
4726.982334136963,0.001,647,0.71145463,0.61
4734.142330646515,0.001,648,0.5284209,0.59
4741.299165248871,0.001,649,0.49497548,0.68
4748.436891555786,0.001,650,0.329903,0.65
4755.756293773651,0.001,651,0.29833087,0.67
4762.855696439743,0.001,652,0.25146282,0.65
4769.95952129364,0.001,653,0.29794186,0.64
4777.054167032242,0.001,654,0.40921617,0.7
4784.256396055222,0.001,655,0.24957421,0.69
4791.266105413437,0.001,656,0.3090099,0.65
4798.318234443665,0.001,657,0.35409847,0.61
4805.471997022629,0.001,658,0.6832229,0.59
4812.562063455582,0.001,659,0.61550987,0.55
4819.6760511398315,0.001,660,0.7835277,0.58
4826.766875267029,0.001,661,0.8150457,0.58
4833.955621480942,0.001,662,1.0549406,0.62
4841.03502368927,0.001,663,0.68452907,0.64
4848.144492149353,0.001,664,0.6424702,0.68
4855.285270690918,0.001,665,0.6465948,0.72
4862.4390189647675,0.001,666,0.2987537,0.7
4869.5506110191345,0.001,667,0.23356837,0.71
4876.746662855148,0.001,668,0.32883975,0.7
4883.751405477524,0.001,669,0.20737056,0.72
4890.723242044449,0.001,670,0.2249518,0.7
4897.875867128372,0.001,671,0.19011077,0.7
4905.043003082275,0.001,672,0.27086484,0.63
4912.663678407669,0.001,673,0.24430418,0.67
4919.785092592239,0.001,674,0.41686818,0.6
4926.950991153717,0.001,675,0.50333214,0.65
4934.126001596451,0.001,676,0.3999585,0.66
4941.270068883896,0.001,677,0.40780887,0.59
4948.424843072891,0.001,678,0.5038566,0.62
4955.507395029068,0.001,679,0.51617897,0.68
4962.592219591141,0.001,680,0.6181287,0.61
4969.618348121643,0.001,681,0.5730676,0.67
4976.726713418961,0.001,682,0.3611869,0.66
4983.816593647003,0.001,683,0.27356982,0.68
4990.911841869354,0.001,684,0.1738028,0.71
4997.972304582596,0.001,685,0.15762381,0.69
5005.11438536644,0.001,686,0.12013984,0.71
5012.247293949127,0.001,687,0.11179565,0.69
5019.364422798157,0.001,688,0.11423709,0.66
5026.530771970749,0.001,689,0.15214103,0.69
5033.579284906387,0.001,690,0.21261416,0.67
5040.740778684616,0.001,691,0.17163183,0.71
5047.881540060043,0.001,692,0.19328752,0.68
5055.031686544418,0.001,693,0.19016798,0.7
5062.212665557861,0.001,694,0.3119353,0.63
5069.419981718063,0.001,695,0.38887858,0.71
5076.615545034409,0.001,696,0.26906213,0.64
5083.799080610275,0.001,697,0.3042503,0.66
5090.8796219825745,0.001,698,0.37050414,0.58
5097.927260398865,0.001,699,0.5984175,0.62
5105.026747226715,0.001,700,0.4730658,0.59
5112.70907497406,0.001,701,0.59442556,0.72
5119.864357471466,0.001,702,0.46263158,0.66
