time,step,rank,num_samples,compute_time_worker,compute_time_master
275.3096115589142,37,9,286,6.414097547531128,4.506111145019531e-05
275.3096134662628,37,10,286,6.318951845169067,4.696846008300781e-05
282.4487097263336,38,1,220,6.277818202972412,2.1219253540039062e-05
282.4487180709839,38,2,198,6.670238018035889,2.956390380859375e-05
282.44872069358826,38,3,286,6.453769683837891,3.218650817871094e-05
282.4487233161926,38,4,198,6.225685119628906,3.4809112548828125e-05
282.44872546195984,38,5,286,6.334941387176514,3.695487976074219e-05
282.44872760772705,38,6,198,6.619296550750732,3.910064697265625e-05
282.44873118400574,38,7,286,6.670785427093506,4.267692565917969e-05
282.44873332977295,38,8,286,6.4205944538116455,4.482269287109375e-05
282.44873547554016,38,9,198,6.434692859649658,4.696846008300781e-05
282.4487373828888,38,10,242,6.2984349727630615,4.887580871582031e-05
289.5022325515747,39,1,286,6.483870983123779,2.09808349609375e-05
289.502240896225,39,2,198,6.343395709991455,2.9325485229492188e-05
289.50224328041077,39,3,264,6.272177219390869,3.170967102050781e-05
289.50224566459656,39,4,286,6.609012126922607,3.409385681152344e-05
289.50224781036377,39,5,286,6.315111875534058,3.62396240234375e-05
289.502249956131,39,6,286,6.434726238250732,3.838539123535156e-05
289.5022532939911,39,7,198,6.414330244064331,4.172325134277344e-05
289.5022552013397,39,8,286,6.493492364883423,4.363059997558594e-05
289.50225710868835,39,9,286,6.441260576248169,4.553794860839844e-05
289.502259016037,39,10,286,6.330190420150757,4.744529724121094e-05
296.6481490135193,40,1,220,6.392641544342041,2.0742416381835938e-05
296.6481568813324,40,2,286,6.427110910415649,2.86102294921875e-05
296.64815950393677,40,3,198,6.430304527282715,3.123283386230469e-05
296.64816188812256,40,4,66,6.423197031021118,3.361701965332031e-05
296.64816427230835,40,5,286,6.391325235366821,3.600120544433594e-05
296.64816641807556,40,6,286,6.331733226776123,3.814697265625e-05
296.6481683254242,40,7,220,6.65193772315979,4.00543212890625e-05
296.64817237854004,40,8,198,6.54110050201416,4.410743713378906e-05
296.64817476272583,40,9,198,6.495785713195801,4.649162292480469e-05
296.64817667007446,40,10,176,6.221914529800415,4.839897155761719e-05
303.7962007522583,41,1,88,6.674484968185425,2.0503997802734375e-05
303.79620885849,41,2,264,6.392959356307983,2.86102294921875e-05
303.7962112426758,41,3,198,6.244525909423828,3.0994415283203125e-05
303.7962136268616,41,4,44,6.671417474746704,3.337860107421875e-05
303.7962157726288,41,5,286,6.527966499328613,3.552436828613281e-05
303.79621863365173,41,6,286,6.322174787521362,3.838539123535156e-05
303.79622077941895,41,7,286,6.411982536315918,4.0531158447265625e-05
303.7962226867676,41,8,198,6.279228925704956,4.2438507080078125e-05
303.7962245941162,41,9,198,6.602863788604736,4.4345855712890625e-05
303.79623222351074,41,10,286,6.339737176895142,5.1975250244140625e-05
310.75389409065247,42,1,286,6.337921619415283,2.1457672119140625e-05
